여자,남자
162,166.3
164.2,164
150.5,173.6
172.7,168
162,176
168,164.2
165,178.9
156.4,175.5
151,162.2
160.6,177.8
166.4,171.4
163.8,176.5
156.8,168.2
164.2,177.7
159.8,162
157.1,183.5
161.7,170.1
151.1,176
165.5,184.4
152,171
155.7,167.1
