여자,남자
159.3,165.3
160.4,171
161.6,170
165.6,180
151.1,172
162.7,161
158,165
153.9,176
160.9,170
165.4,172
170,185
163.1,167
151.3,176
152.6,182.6
152.8,178.5
159.3,175
167.3,167
161.3,165
156.4,177.6
163.9,175.5
151.4,182
163.5,171.6
157.4,178
154.6,166
160.4,162
167.2,179
170.8,184
165.2,168.3
162,167.7
159.8,174.4
160,170.3
168.7,182
155.4,166.9
162.1,176.4
164.6,180.5
158.7,165.5
158.8,174.1
166.2,176.5
162.5,168.7
148.5,180.5
151.1,166
171.4,172.8
158.4,173.7
148.1,185.1
160,179.2
167.4,177.9
154.8,176.9
162.8,176.2
165,166.9
163,176
166.1,173.8
156.6,174.8
160.9,177.8
163.5,166.2
160.8,172.8
163.7,164.9
154.5,163.7
158.2,180.6
169.4,169.7
164.8,179.9
156.8,171.8
162.6,173.2
152.8,167.3
160.8,178.8
159.9,177.8
173.7,179.8
156.9,177.5
160.4,173.8
160.2,181.4
159.7,166.2
157,169.7
159,167
158,182
166,178.4
160,172.4
165,169.4
170,184.3
159,175.1
160,168.4
162,169
162,177
169,177.3
165,169.6
158,167.1
165,171.9
160,167.6
164,168
167,185.3
164,170.9
159,178.3
155,186.3
167,180.7
173,182
158,180.5
154,171.5
158,171.2
159,171.9
160,183.4
161,170.7
162,173.2
156,174.8
161,175.9
177,166.2
154,179.1
165,175.3
160,175.3
162,170.8
155,166.3
161.4,171.3
171.9,168
156.1,176.5
155.4,185.6
159.3,178.7
162.1,177.4
153.3,163.3
161.6,171.9
162,181.2
160.3,174.4
158.9,174.5
164.1,164.7
170.2,173.2
156.3,169.7
167,175.8
160.3,172.9
160.7,171.1
164.8,172.1
160.1,174.8
160.5,175.7
176.5,176
162.2,176
167.9,173.3
155.1,172.5
148.8,171
165.8,170
162.7,183
159,173
158.3,182
168,180
157.1,172
162.8,170
163.5,165
161.2,174
156.5,169
163.1,184
154.4,180
155.7,178
153.1,179
159.7,172
153.4,180
172.1,175
160.9,173
166.2,166
164.6,170
160.3,178
158.8,172
168.3,170
173.7,155
165,170
153.3,168
160.5,185
160.3,173
151.8,179
159.2,168
152,174
160.4,170
163.3,167
172.1,163
174.8,178.5
158.2,164
162.6,176.6
165.5,174.6
162.9,173.1
165.9,174.8
150.9,166.1
154.1,171.3
159.2,180.9
162.6,173.2
158.4,174.5
159,176.2
160.9,174.7
164.5,171.3
159.6,175.2
160.8,177.3
158.2,171.9
165.6,175.8
166.2,167
159.4,173.5
154.8,174.4
